name,aka,page_start,page_end,row_count,chars_count,ks.,firstlast,dob
"Lahtimies, T.J.",T.J. Wikman,236,236,3,77,0,T.J. Lahtimies,
"Lahtinen, Katri","ks. Autiala, Raili",236,236,1,18,1,Katri Lahtinen,
"Lahtonen, Kustaa Väinö",,236,236,13,498,0,Kustaa Väinö Lahtonen,9.8.1890
"Laiho, Toivo Rikhard",,236,236,11,427,0,Toivo Rikhard Laiho,19.5.1908
"Laikka, Joel",Pekka Pire; Olavi Joel Lastikka,236,237,48,1822,0,Joel Laikka,9.5.1906
"Laikko, V.","ks. Puttonen, Vilho",237,237,1,19,1,V. Laikko,
"Laine, Kauko",,237,237,3,106,0,Kauko Laine,
"Laine, Martti","ks. Larni, Martti",237,237,1,17,1,Martti Laine,
"Lainio, Jussi","Juho Aapo Lainioranta, aik. Kinisjärvi",237,237,24,1072,0,Jussi Lainio,1.4.1898
"Lainioranta, Jussi","ks. Lainio, Jussi",237,237,1,17,1,Jussi Lainioranta,
"Laitinen, Maili",Marjatta; aik. Amalia Laitinen,237,237,17,617,0,Maili Laitinen,28.4.1892
"Lammento, Arto",Artur Aleksander Lammento; aik. Lindroos,237,238,8,280,0,Arto Lammento,5.6.1896
"Lampén, Ernst","Ernst Lampen-Iso-Keisari; Ernst Adolf Iso-Keisari, v:een 1936 Lampen",238,238,68,2776,0,Ernst Lampén,7.1.1865
"Larnpio, Eero",aik. Lampen,238,238,18,707,0,Eero Larnpio,5.10.1889
"Landström, Björn Olof August",Karl-Stefan Stenman,238,239,116,4908,0,Björn Olof August Landström,21.4.1917
"Langenskjöld, Agnes",,239,239,17,650,0,Agnes Langenskjöld,20.7.1887
"Lappi-Seppälä, Jussi",v:een 1915 Seppälä,239,240,31,1191,0,Jussi Lappi-Seppälä,26.2.1911
"Larni, Martti Johannes","Dan Aster, Aslak Nuorti; v:een 1942 Laine",240,241,137,5567,0,Martti Johannes Larni,22.9.1909
"Laro, Arvo Vihtori",v:een 1934 Lindholm,241,241,23,969,0,Arvo Vihtori Laro,23.12.1909
"Lassila, Ilmo","ks. Valkonen, Tatu",241,241,1,18,1,Ilmo Lassila,
"Lassila, Kalle",Kaarle Armas Muisto Lassila,241,241,10,390,0,Kalle Lassila,20.5.1913
"Lastikka, Lauri","ks. Vaala, Lauri",241,241,1,16,1,Lauri Lastikka,
"Lastikka, Olavi","ks. Laikka, Joel",241,241,1,16,1,Olavi Lastikka,
"Latvala, Matti Heikinpoika",,241,241,9,356,0,Matti Heikinpoika Latvala,11.5.1868
Laulajapoika,"ks. Väänänen, Kalle",241,242,2,48,1,Laulajapoika,
"Lauren, Aapo","ks. Laurila, P.",242,242,1,15,1,Aapo Lauren,
"Lauri, Olavi","ks. Paavolainen, Olavi",242,242,1,22,1,Olavi Lauri,
"Lauri, Reino",/Reino Laurikainen/,242,242,4,130,0,Reino Lauri,
"Laurikainen, Reino","ks. Lauri, Reino",242,242,1,16,1,Reino Laurikainen,
"Laurila, Hilja Elisabet",,242,242,47,1850,0,Hilja Elisabet Laurila,12.6.1913
"Laurila, P.",Aapo Lauren; August Lauren,242,242,16,581,0,P. Laurila,2.3.1897
"Laurila, Simo",Lauri Kullervo Simola,242,242,6,188,0,Simo Laurila,12.1.1891
"Laurila, Vihtori",,242,243,47,1907,0,Vihtori Laurila,26.12.1904
"Lauttamus, J.",,243,243,1,41,0,J. Lauttamus,
"Lehmuskoski, Niilo Henrik",v:een 1906 Lindfors,243,243,16,686,0,Niilo Henrik Lehmuskoski,26.8.1888
"Lehtinen, J.A.",J.A.L.,243,243,8,326,0,J.A. Lehtinen,
"Lehtinen, Toini","ks. Lehtinen-Palme, Toini",243,243,1,25,1,Toini Lehtinen,
"Lehtinen-Palme, Toini",Toini Mirjam Palme,243,244,39,1429,0,Toini Lehtinen-Palme,13.10.1911
"Lehto, Lauri S.",,244,244,2,61,0,Lauri S. Lehto,
"Lehtonen, Amalia","Arvid Luhtakanta, Emil Muuratsalo; August Emil Saarinen",244,244,37,1512,0,Amalia Lehtonen,26.10.1879
"Lehtonen, Ensio Akseli",Ensio-setä,244,245,186,7459,0,Ensio Akseli Lehtonen,30.6.1906
"Lehtonen, Saara Margareta",,245,246,25,959,0,Saara Margareta Lehtonen,25.3.1901
"Lehtonen, Taisto",,246,246,2,77,0,Taisto Lehtonen,
"Leino, Tyyra",Tyyra Elina Lehtonen,246,246,9,315,0,Tyyra Leino,18.2.1913
"Leinonen, Matti A.",,246,246,2,81,0,Matti A. Leinonen,
"Leistelä, Topo","ks. Leistilä, Topo",246,246,1,18,1,Topo Leistelä,
"Leistilä, Topo","Pierre Gaston Durac, Topo Leistelä,; Toppo Leistelä, Toni; Torsten Arthur Leistelä, aik. Leisten",246,246,52,2191,0,Topo Leistilä,12.7.1893
"Leo, Mona","Monica Ehrström,; Monica Ehrström-Enckell; Monica Christina Leo",246,247,34,1383,0,Mona Leo,26.4.1903
"Leppänen, Paavo",,247,247,3,111,0,Paavo Leppänen,
"Leppänen, Reino",,247,247,5,218,0,Reino Leppänen,
"Levas, Santeri","ks. Piispanen, Benno",247,247,1,20,1,Santeri Levas,
"Levon, Kaarlo Aleksanteri",,247,247,22,850,0,Kaarlo Aleksanteri Levon,22.5.1867
"Levä, M.",ks. Taiga Marton,247,247,1,16,1,M. Levä,
"Leväsalo, Fanny","ks. Kai, Maja",247,247,1,13,1,Fanny Leväsalo,
"Liakka, Niilo",,247,248,50,2066,0,Niilo Liakka,23.6.1864
"Lieto, Ilmo","ks. Koistinen, Kaarlo",248,248,1,21,1,Ilmo Lieto,
"Liinamaa, Verneri Antto",Päivänpoika; v:een 1934 Lindgren,248,248,33,1262,0,Verneri Antto Liinamaa,28.6.1898
"Lilius, Eva Charlotte",,248,248,52,2125,0,Eva Charlotte Lilius,14.6.1899
"Lille, Martha Sophia",,248,249,9,392,0,Martha Sophia Lille,20.1.1893
Lim-Erik,"ks. Ehrnrooth, Leo",249,249,1,18,1,Lim-Erik,
"Lind, Christer",,249,249,18,696,0,Christer Lind,14.11.1912
"Lindahl, Emil",,249,249,13,491,0,Emil Lindahl,30.8.1892
"Lindberg, L.","ks. Kotsalo, A.",249,249,1,15,1,L. Lindberg,
"Lindberg, Stig",Ragnar Julius Numelin,249,250,117,4727,0,Stig Lindberg,28.9.1890
"Lindgren, Anna","ks. Linni, A.M.",250,250,1,15,1,Anna Lindgren,
"Lindgren, Gerda","ks. Lintumaa, Kaija",250,250,1,19,1,Gerda Lindgren,
"Lindgren, Kaj August",,250,250,54,2374,0,Kaj August Lindgren,20.8.1908
"Lindgren, Verner","ks. Liinamaa, Verneri",250,251,2,53,1,Verner Lindgren,
"Lindgärd, Torsten Leander",v:een 1922 Granholm,251,251,15,578,0,Torsten Leander Lindgärd,28.2.1907
"Lindholm, Disa Margareta",,251,251,34,1422,0,Disa Margareta Lindholm,7.9.1916
"Lindholm, Olga Emilia",,251,251,4,136,0,Olga Emilia Lindholm,20.11.1890
"Lindquist, Marita Elisabeth",Marita Gustafson,251,252,111,4555,0,Marita Elisabeth Lindquist,10.11.1918
"Lindroos-Palmgren, Saga","ks. Therman, Saga",252,252,1,17,1,Saga Lindroos-Palmgren,
"Lindström, Erika Gustava",,252,252,9,378,0,Erika Gustava Lindström,3.1.1879
"Linkomies, Edvin Johan Hiidegard",Edvin Flinck-Linkomies; v:een 1928 Flinck,252,253,74,2896,0,Edvin Johan Hiidegard Linkomies,22.12.1894
"Linna, Alli",,253,253,5,172,0,Alli Linna,
"Linnala, Joe)","ks. Kukkonen, Jussi",253,253,1,19,1,Joe) Linnala,
"Linni, A.M.",Anna Lindgren,253,253,3,65,0,A.M. Linni,
"Linnus, Hugo Olavi","Rex Davis, Gil Dennic, Brent Morea, Olaus; v:een 1935 Lilius",253,254,113,4077,0,Hugo Olavi Linnus,7.11.1914
"Lintumaa, Kaija",Gerda Laella Lindgren,254,254,76,2996,0,Kaija Lintumaa,3.5.1904
Lippa,"ks. Soini, Elsa",254,255,2,45,1,Lippa,
"Lipponen, Toivo V.",,255,255,4,146,0,Toivo V. Lipponen,
"Liukonen, Kustaa","ks. Kolu, Ere",255,255,1,13,1,Kustaa Liukonen,
"Lodenius, Karl Gustaf Elias",,255,255,5,207,0,Karl Gustaf Elias Lodenius,14.4.1877
"Lokkiluoto, Liisa",Hilkka-Marjatta Lumme,255,255,8,266,0,Liisa Lokkiluoto,
"Lonkainen, Juho","ks. Lonkainen, Jussi",255,255,1,20,1,Juho Lonkainen,
"Lonkainen, Jussi Jaakko","J.L., Juho Lonkainen, Jussi Savipuro",255,255,24,951,0,Jussi Jaakko Lonkainen,20.12.1890
"Louhi, Anna Agnes","ks. Vaassila, Jyrki",255,255,1,19,1,Anna Agnes Louhi,
"Louhija, Jarl Albin",v:een 1938 Lindgren,255,256,67,2710,0,Jarl Albin Louhija,29.5.1908
"Louhivuori, Antti Niilo Verneri",Antti-setä; v:een 1905 Lohtander,256,256,70,2778,0,Antti Niilo Verneri Louhivuori,31.5.1886
"Lounassalo, Taimi","ks. Haarala, Anna-Maija",256,256,1,23,1,Taimi Lounassalo,
"Luho, Helena","ks. Murros, Helena",256,256,1,18,1,Helena Luho,
"Luhtakanta, Arvid","ks. Lehtonen, Amalia",256,256,1,20,1,Arvid Luhtakanta,
"Luja, V.","Venla Luja; Vendla Salome Luja, o.s. Kallio",256,257,16,627,0,V. Luja,
"Lumme, Hilkka-Marjatta","ks. Lokkiluoto, Liisa",257,257,1,21,1,Hilkka-Marjatta Lumme,
"Lundell, Gustaf-Adolf",,257,257,14,541,0,Gustaf-Adolf Lundell,9.11.1874
"Lunden,Ingegerd",Ingegerd; Lilly Ingegerd Lunden Cronström,257,257,70,2954,0,Ingegerd Lunden,4.3.1912
"Lunden Cronström, Ingegerd","ks. Lunden, Ingegerd",257,257,1,20,1,Ingegerd Lunden Cronström,
"Lundström, Ernst Valter",,257,258,36,1391,0,Ernst Valter Lundström,10.10.1874
"Lunelund, Birgit",Birgit Elisabeth Lunelund-Grönroos,258,258,15,610,0,Birgit Lunelund,27.11.1906
"Luolama, Toivo","ks. Tuomola, Olavi",258,258,1,18,1,Toivo Luolama,
"Luosto, Jouko",,258,258,3,126,0,Jouko Luosto,
"Luotonen, Arvo J.","ks. Jyränkö, Jalmari",258,258,1,20,1,Arvo J. Luotonen,
"Luotonen, Lyyli","ks. Väre, Vappu",258,258,1,15,1,Lyyli Luotonen,
LuppovaaranIsko,"ks. Kotijärvi, Hellä",258,258,1,20,1,LuppovaaranIsko,
"Lybäck, Holger Eiler",,258,258,21,786,0,Holger Eiler Lybäck,16.8.1919
"Lyy, Otto Toivo",v:een 1930 Mähönen,258,259,119,5087,0,Otto Toivo Lyy,20.4.1898
"Lyytinen, Wilhelm Emerik",,259,260,15,549,0,Wilhelm Emerik Lyytinen,8.4.1865
"Lyytinen, Rakel","ks. Pajaniemi, Maria",260,260,1,20,1,Rakel Lyytinen,
"Löfberg, Martti","ks. Taiga, Marton",260,260,1,17,1,Martti Löfberg,
"Lönn, Kaarina","Alma Kaarina Vaher, v:een 1935 Lönn",260,260,13,531,0,Kaarina Lönn,8.10.1896
"Lönnberg, Eva-Lisa","ks. Viljanen, Eva-Lisa",260,260,1,22,1,Eva-Lisa Lönnberg,
"Lööf, Christina",Margit Äström,260,260,43,1721,0,Christina Lööf,4.6.1899
M.P.-V.,"ks. Palmroth, Geo",260,260,1,17,1,M.P.-V.,
"Makkonen, V.",Valtteri Johannes Makkonen,260,261,16,604,0,V. Makkonen,19.1.1902
"Malin, Hilja Alli Kyllikki",v:sta 1935 Malista,261,261,20,776,0,Hilja Alli Kyllikki Malin,5.11.1894
"Malin, Meri",,261,261,1,48,0,Meri Malin,
"Malinen, Vilho",,261,261,6,245,0,Vilho Malinen,
"Maliniemi, Irja Linnea Julie",,261,261,20,900,0,Irja Linnea Julie Maliniemi,26.10.1902
"Malisto, Kyllikki","ks. Malin, Kyllikki",261,261,1,19,1,Kyllikki Malisto,
"Malmström, Nicken",,261,262,71,2971,0,Nicken Malmström,19.2.1897
"Mandelstam, Karin Margareta",,262,263,94,3576,0,Karin Margareta Mandelstam,26.3.1908
"Manelius, Urho","ks. Katkera, Kaarlo",263,263,1,19,1,Urho Manelius,
"Mangs, Hilma",,263,263,3,124,0,Hilma Mangs,
"Manner, Aino",,263,263,2,55,0,Aino Manner,
"Manner, Eeva-Liisa",Anna September,263,266,402,16894,0,Eeva-Liisa Manner,5.12.1921
"Manner, Pekka",,266,266,2,89,0,Pekka Manner,
"Manninen, Swan Ohto Antero","Antero, Antero-setä",266,267,112,4699,0,Swan Ohto Antero Manninen,10.11.1907
"Manninen, E.N.","Eero Niilo Manninen, v:een 1907 Thonberg",267,267,43,1871,0,E.N. Manninen,16.4.1893
"Manninen, Erkki Mauno Gustaf",,267,267,20,820,0,Erkki Mauno Gustaf Manninen,26.6.1915
"Manninen, Kaarlo Otto Sulevi",,267,268,15,618,0,Kaarlo Otto Sulevi Manninen,24.11.1909
Marianne,"ks. Somersalo, Aili",268,268,1,19,1,Marianne,
"Mario, Victor",ks. Outsider,268,268,1,12,1,Victor Mario,
Marja-Leena,"ks. Arni, Annikki",268,268,1,17,1,Marja-Leena,
Marjatta,"ks. Laitinen, Maili",268,268,1,19,1,Marjatta,
Markus-setä,Raimo Roivio; Eino Markus Rautio,268,268,38,1415,0,Markus-setä,17.5.1891
"Martin, L.","ks. Taiga, Marton",268,268,1,17,1,L. Martin,
"Martta, Marja",,268,268,1,28,0,Marja Martta,
"Marttila, Elsa",Elsa Johanna Marttila-Stranden,268,268,25,957,0,Elsa Marttila,1.7.1921
"Marttila, Heikki",ks. Arijoutsi,268,268,1,13,1,Heikki Marttila,
"Marttila-Stranden, Elsa","ks. Marttila, Elsa",268,269,2,47,1,Elsa Marttila-Stranden,
"Marttina, Paul",,269,269,11,482,0,Paul Marttina,14.12.1898
"Matinsaari, Kirsti","ks. Suomela, Toivi",269,269,1,18,1,Kirsti Matinsaari,
Matleena,"ks. Salmela-Järvinen, Martta",269,269,1,28,1,Matleena,
"Matson, Alex","Aaro Evä, Aleksi Valkeakylä; Alexander Matson",269,270,117,4797,0,Alex Matson,8.11.1888
"Matson, Alexander","ks. Matson, Alex",270,270,1,16,1,Alexander Matson,
"Mattila, Alma Rakel",,270,270,10,430,0,Alma Rakel Mattila,26.11.1888
"Mattila, Else Sylvia",Else Parviainen,270,270,20,726,0,Else Sylvia Mattila,24.6.1913
"Mattila, Hanna",Lempi Johanna Mattila,270,270,15,645,0,Hanna Mattila,9.8.1899
"Mattila, Niilo",Niilo Vihtori Nuutinen,270,270,10,390,0,Niilo Mattila,16.2.1926
"Mattila, Paula",Sigrid Ellan Annette Streng,270,271,25,942,0,Paula Mattila,19.6.1921
"Mattila, Uuno","ks. Kivimies, Yrjö",271,271,1,18,1,Uuno Mattila,
"Mattsson, Ester",,271,271,2,87,0,Ester Mattsson,
Meirami,"ks. Erjakka, Helvi",271,271,1,18,1,Meirami,
"Mela, Elvi",Hilda Rintanen,271,271,12,458,0,Elvi Mela,17.12.1887
"Mela, Matti A.",Aimo Matti Mela,271,271,14,554,0,Matti A. Mela,29.6.1918
"Melartin, Erkki",Erik Gustaf Melartin,271,271,12,524,0,Erkki Melartin,7.2.1875
"Merenmaa, Martti Henrik",Heikki Nummi; v:een 1921 Karjala,271,273,250,11143,0,Martti Henrik Merenmaa,19.7.1896
"Meri, Kaisa","Lempi Alho; Katri Aksa Kaisa Säivä, vteen 1936 Sjöman",273,274,73,2786,0,Kaisa Meri,7.3.1898
"Merikoski, Kaarlo Aukusti",v:een 1906 Lindstedt,274,275,88,3613,0,Kaarlo Aukusti Merikoski,5.6.1878
"Merimaa, Eero","ks. Suomalainen, Johannes",275,275,1,25,1,Eero Merimaa,
"Merimaa, Karl-Erik","ks. Merimaa, Kaarlo",275,275,1,19,1,Karl-Erik Merimaa,
"Merimaa, Kaarlo","Karl-Erik Merimaa, aik. Mannström",275,275,29,1103,0,Kaarlo Merimaa,13.4.1902
"Merivirta, Juhani",,275,275,1,35,0,Juhani Merivirta,
"Merivirta, Väinö",,275,275,3,105,0,Väinö Merivirta,
"Merola, Evert Leander",,275,275,9,348,0,Evert Leander Merola,18.4.1902
"Mertala, Ahti","livar Edvard Kerkkola, aik. Englund",275,275,11,486,0,Ahti Mertala,19.3.1873
"Merto, Ossi","ks. Jaakkola, Lasse",275,275,1,19,1,Ossi Merto,
"Mielonen, Iris","ks. Uurto, Iris",275,275,1,15,1,Iris Mielonen,
Miihkali Onttoni,"Mikael Karresand,; v:een 1952 Mikko Karvonen",275,276,56,2248,0,Miihkali Onttoni,3.1.1904
"Miilumaja, Olavi",,276,276,2,74,0,Olavi Miilumaja,
"Miinala, Akseli",ks. Salamoni,276,276,1,12,1,Akseli Miinala,
"Miinalainen, Wiktor",,276,276,10,393,0,Wiktor Miinalainen,27.12.1902
"Mikkola, Edv.",,276,276,8,295,0,Edv. Mikkola,
"Mikkonen, Hiski",,276,276,16,670,0,Hiski Mikkonen,2.2.1891
"Mikkonen, Jyrki Aapeli",,276,277,42,1695,0,Jyrki Aapeli Mikkonen,7.8.1909
"Mitts, Ernst","ks. Mogärd, Alvar",277,277,1,17,1,Ernst Mitts,
"Mogärd, Alvar",Ernst August Mitts,277,277,21,796,0,Alvar Mogärd,29.1.1891
"Moilanen, Tommi Tuomas Adolf",,277,277,13,512,0,Tommi Tuomas Adolf Moilanen,8.1.1912
"Mononen, Yrjö","ks. Koivukari, Yrjö",277,277,1,19,1,Yrjö Mononen,
"Montonen, Paavo",,277,278,30,1344,0,Paavo Montonen,28.11.1892
"Morand, Rene","ks. Kurko, Kaarlo",278,278,1,17,1,Rene Morand,
"Morea, Brent","ks. Linnus, Olavi",278,278,1,17,1,Brent Morea,
"Moreton, Eric","ks. Grönvik, Ann-Mari",278,278,1,21,1,Eric Moreton,
"Morris, Dan","ks. Pelkonen, Väinö",278,278,1,19,1,Dan Morris,
"Morris, Maud",Andree Eva Louise Krogius,278,278,5,192,0,Maud Morris,4.8.1888
"Moukka, Mikko","Kyösti Kulkuri, Edvard Walpas; Edvard Valpas-Hänninen",278,278,22,924,0,Mikko Moukka,6.9.1873
"Multia, A.V.",Akseli Viljam Viljasato,278,278,38,1526,0,A.V. Multia,8.7.1889
"Munsterhjelm, Ali",Alarik Gustaf Waldemar Munsterhjelm,278,279,12,502,0,Ali Munsterhjelm,12.3.1873
"Munsterhjelm, Elin","Elin Munsterhjelm-Harva, Elin Munster-; hjelm-Holmberg; Elin Vega Harva",279,279,22,873,0,Elin Munsterhjelm,3.8.1880
"Munsterhjelm, Erik",,279,279,51,2020,0,Erik Munsterhjelm,28.3.1905
"Munsterhjelm, Rudolf Ludvig",,279,280,54,2112,0,Rudolf Ludvig Munsterhjelm,5.2.1880
"Munsterhjelm-Harva, Elin","ks. Munsterhjelm, Elin",280,280,1,22,1,Elin Munsterhjelm-Harva,
"Munsterhjelm-Holmberg, Elin","ks. Munsterhjelm, Elin",280,280,1,22,1,Elin Munsterhjelm-Holmberg,
"Murros, Aaro Antero",,280,280,14,509,0,Aaro Antero Murros,13.12.1903
"Murros, Helena",Irja Helena Luho,280,280,52,2074,0,Helena Murros,27.5.1914
"Murros, Kaapo","David Gabriel Murros, v:een 1895 Ahlqvist",280,281,84,3354,0,Kaapo Murros,29.7.1875
Musketören,"ks. Wirtanen, Atos",281,281,1,18,1,Musketören,
"Mustala, Hellin",ks. Anna-Kaisa,281,281,1,14,1,Hellin Mustala,
"Mustapää, P.",Martti Henrikki Haavio,281,284,326,14021,0,P. Mustapää,22.1.1899
"Mustasalo, Aarne",Aarne Pohjanmies; Heikki Eliel Nurmio,284,284,43,1730,0,Aarne Mustasalo,29.10.1887
"Mustonen, Heikki","ks. Karro, Asa",284,284,1,14,1,Heikki Mustonen,
"Mustonen, Kerttu","Mustonen-Hukki, Kerttu Maria",284,285,89,3483,0,Kerttu Mustonen,3.9.1899
"Mustonen-Hukki, Kerttu","ks. Mustonen, Kerttu",285,285,1,20,1,Kerttu Mustonen-Hukki,
"Muuratsalo, Emil","ks. Lehtonen, Amalia",285,285,1,20,1,Emil Muuratsalo,
"Myrman, Zoe Soja",,285,285,11,447,0,Zoe Soja Myrman,11.10.1898
"Myyryläinen, Lyyli",,285,285,2,98,0,Lyyli Myyryläinen,
"Mårtenson, Gunnar Gustaf","Game & Tuus, Tuus, Tuus & Game,; Tuus och Game",285,286,125,4475,0,Gunnar Gustaf Mårtenson,10.8.1907
"Mäsbäck, Adele",,286,286,1,48,0,Adele Mäsbäck,
"Mäenpää, Arvi Matti",,286,286,7,274,0,Arvi Matti Mäenpää,18.3.1899
"Mäenpää, Jorma Kalevi",K. Vara,286,287,73,2754,0,Jorma Kalevi Mäenpää,21.7.1918
"Mähönen, Toivo","ks. Lyy, Toivo",287,287,1,14,1,Toivo Mähönen,
"Mäkelä, Antti K.",Antti Kustaa Mäkelä,287,287,19,697,0,Antti K. Mäkelä,3.12.1913
"Mäkelä, Matti",Esko Matias Havumäki,287,287,7,268,0,Matti Mäkelä,2.2.1916
"Mäkelä, Matti E.",Matti Eemil Mäkelä,287,287,27,1035,0,Matti E. Mäkelä,28.12.1905
"Mäki, Eemeli Arvid",,287,288,11,434,0,Eemeli Arvid Mäki,8.8.1884
"Mäkikossa, O.T.","ks. Tavi, Anja",288,288,1,14,1,O.T. Mäkikossa,
"Mäkikossa, Oma","ks. Tavi, Anja",288,288,1,14,1,Oma Mäkikossa,
"Mäkinen, Aino",,288,288,5,189,0,Aino Mäkinen,
"Mäkitie, Ilmari","ks. Pekkarinen, Tatu",288,288,1,20,1,Ilmari Mäkitie,
"Mäntylehto, Elias",,288,288,3,119,0,Elias Mäntylehto,
"Mäntylä, Maija Kyllikki",,288,289,153,5924,0,Maija Kyllikki Mäntylä,18.8.1907
"Määttänen, Eino",,289,289,1,52,0,Eino Määttänen,
"Möller, Birgit",Birgit Anita von Born,289,290,56,1964,0,Birgit Möller,17.11.1898
"Mörne, Signe Barbro",,290,290,79,3476,0,Signe Barbro Mörne,6.2.1903
"Mörne, Arvid Håkan",,290,291,114,4518,0,Arvid Håkan Mörne,5.12.1900
Naapurin Liisa,"ks. Kilpeläinen, Irja",291,291,1,21,1,Naapurin Liisa,
Nalle,"ks. Karhumäki, Urho",291,291,1,19,1,Nalle,
"Naula, Mikko","ks. Kupiainen, Unto",291,291,1,19,1,Mikko Naula,
Nauticus,"ks. Waltari, Mika",291,291,1,17,1,Nauticus,
"Nelson, Per","ks. Wallenius, Allan",291,291,1,20,1,Per Nelson,
"Nevalainen, Elina",,291,292,6,248,0,Elina Nevalainen,
"Nevalainen, Frida","ks. Nevalainen, Vappu",292,292,1,21,1,Frida Nevalainen,
"Nevalainen, Vappu",Frida Nevalainen,292,292,2,50,0,Vappu Nevalainen,
"Nickul, Martha Maria",,292,292,19,775,0,Martha Maria Nickul,26.7.1894
"Niemi, Irja",Kerttu Nuorteva,292,292,7,252,0,Irja Niemi,
"Niemi, Kerttu","ks. Porras, Kirsti",292,292,1,18,1,Kerttu Niemi,
"Nieminen, Kaarlo Aleksanteri",Kaarlo Kariniemi,292,292,48,1865,0,Kaarlo Aleksanteri Nieminen,27.8.1887
"Nieminen, Toimi Armas",,292,293,9,350,0,Toimi Armas Nieminen,25.7.1906
"Niilesmaa, A.V.","ks. Kupiainen, Alpo",293,293,1,19,1,A.V. Niilesmaa,
"Niininen, Margit",Helene Margareta Törnudd,293,293,56,2487,0,Margit Niininen,18.1.1905
"Niininen, V.A.",,293,293,9,373,0,V.A. Niininen,
"Nikkola, Yrjö",,293,293,1,37,0,Yrjö Nikkola,
"Nilsson, Aili",,293,293,7,247,0,Aili Nilsson,11.10.1892
"Niska, Algoth Johannes",,293,293,13,522,0,Algoth Johannes Niska,5.12.1888
"Nisonen, Martti",,293,294,3,91,0,Martti Nisonen,
"Nissén, Oscar Fredrik",,294,294,12,466,0,Oscar Fredrik Nissén,6.11.1910
"Niukkanen, Viljo","ks. Rauta, Viljo",294,294,1,16,1,Viljo Niukkanen,
"Nivala, Kerttu","ks. Kaskimaa, Kerttu",294,294,1,20,1,Kerttu Nivala,
"Nobody, A. /salanimi/",,294,294,2,85,0,A. /salanimi/ Nobody,
"Noppari, Maija-Leena",Marja Helena Noppari,294,294,18,774,0,Maija-Leena Noppari,31.8.1896
"Nordblom, Helga","ks. Nuorpuu, Helga",294,294,1,18,1,Helga Nordblom,
"Nordbo, Ringa",Anna Jung,294,294,2,45,0,Ringa Nordbo,
"Nordgren, Aili Amanda Henriette",,294,295,63,2678,0,Aili Amanda Henriette Nordgren,22.10.1908
"Nordman, Ann-Mari","ks. Grönvik, Ann-Mari",295,295,1,21,1,Ann-Mari Nordman,
"Nordman, Jane Synnöve",,295,295,5,166,0,Jane Synnöve Nordman,5.5.1926
"Normi, A.B.",Antti W. Heikkinen,295,295,7,218,0,A.B. Normi,
"Nousiainen, Oskari",,295,295,30,1284,0,Oskari Nousiainen,8.5.1892
"Numelin, Ragnar","ks. Lindberg, Stig",295,295,1,18,1,Ragnar Numelin,
"Numers, Gund von","ks. Numers-Snellman, Gund von",295,295,1,29,1,Gund von Numers,
"Numers, Lorenz Torbjörn Gustaf Gunnar",von,295,297,176,7134,0,Lorenz Torbjörn Gustaf Gunnar Numers,25.1.1913
"Numers-Snellman, Gund von",Gund von Numers; Berglit Hildegrund Margerith von; Numers-Liljeblad,297,297,46,1841,0,Gund von Numers-Snellman,28.8.1901
"Nummelin, Matti","ks. Nummensalo, Matti",297,297,1,21,1,Matti Nummelin,
"Nummensalo, Matti Efraim",v:een 1935 Nummelin,297,297,29,1230,0,Matti Efraim Nummensalo,12.4.1899
"Nummi, Heikki","ks. Merenmaa, Martti",297,297,1,20,1,Heikki Nummi,
"Nuolivaara, Auni Elisabeth",,297,298,78,3212,0,Auni Elisabeth Nuolivaara,22.5.1883
"Nuormaa, Arvi Severi",v:een 1905 Nyman,298,299,53,2069,0,Arvi Severi Nuormaa,31.10.1895
"Nuorpuu, Helga Maria",Anja Pirttilä; v:een 1928 Nordblom,299,300,141,5148,0,Helga Maria Nuorpuu,20.2.1901
"Nuorteva, Kerttu","ks. Niemi, Irja",300,300,1,15,1,Kerttu Nuorteva,
"Nuorteva, Väinö",ks. Olli,300,300,1,8,1,Väinö Nuorteva,
"Nuorti, Aslak","ks. Larni, Martti",300,300,1,17,1,Aslak Nuorti,
"Nuorto, Olli","Preston Asra, O. Ukkonen, Heikki Vikla; Olavi Nuorto, aik. Siren",300,301,225,8492,0,Olli Nuorto,26.1.1907
"Nuorvala, Kaarlo Ilmari","Reino Arras, Charles Chang, Max Dugan,; Charles Dupois, Christer Holm, Mary",301,303,241,9534,0,Kaarlo Ilmari Nuorvala,
"Nurmes, U.V.","Uljas Vesa Rauanheimo,; v:een 1906 Järnefelt",303,304,27,1066,0,U.V. Nurmes,11.8.1898
"Nurmio, Heikki","ks. Mustasalo, Aarne",304,304,1,20,1,Heikki Nurmio,
"Nurro, Kaija","ks. Kasurinen, Anna",304,304,1,19,1,Kaija Nurro,
"Nuutinen, Niilo","ks. Mattila, Niilo",304,304,1,18,1,Niilo Nuutinen,
"Nuuttinen, Toivo",,304,304,2,75,0,Toivo Nuuttinen,
"Nyberg, Beda",,304,304,5,221,0,Beda Nyberg,12.10.1870
"Nyberg, Paul Bernhard",,304,305,98,4014,0,Paul Bernhard Nyberg,4.1.1889
"Nyholm, Aline",,305,305,1,52,0,Aline Nyholm,
"Nylander, Paul","ks. Qvarnström, Ingrid",305,305,1,22,1,Paul Nylander,
"Nyman, Richard","ks. Pilgrim, Richard",305,305,1,20,1,Richard Nyman,
